;Cod_Data;Count;Cod_munincipio;Cod_Estado;Cod_regiao
369;20211018;10082;530010.0;53;5
370;20211019;9486;530010.0;53;5
371;20211020;8994;530010.0;53;5
372;20211021;6785;530010.0;53;5
373;20211022;8451;530010.0;53;5
374;20211023;1563;530010.0;53;5
375;20211024;1099;530010.0;53;5
376;20211025;9290;530010.0;53;5
377;20211026;9769;530010.0;53;5
378;20211027;8552;530010.0;53;5
379;20211028;7423;530010.0;53;5
380;20211029;8086;530010.0;53;5
381;20211030;1269;530010.0;53;5
382;20211031;668;530010.0;53;5
383;20211101;825;530010.0;53;5
384;20211102;726;530010.0;53;5
385;20211103;9486;530010.0;53;5
386;20211104;8910;530010.0;53;5
387;20211105;8833;530010.0;53;5
388;20211106;1320;530010.0;53;5
389;20211107;726;530010.0;53;5
390;20211108;7979;530010.0;53;5
391;20211109;9485;530010.0;53;5
392;20211110;7676;530010.0;53;5
393;20211111;7127;530010.0;53;5
394;20211112;5665;530010.0;53;5
395;20211113;1183;530010.0;53;5
396;20211114;665;530010.0;53;5
397;20211115;757;530010.0;53;5
398;20211116;7251;530010.0;53;5
399;20211117;7071;530010.0;53;5
400;20211118;5367;530010.0;53;5
401;20211119;6372;530010.0;53;5
402;20211120;3947;530010.0;53;5
403;20211121;297;530010.0;53;5
404;20211122;6803;530010.0;53;5
405;20211123;6593;530010.0;53;5
406;20211124;5866;530010.0;53;5
407;20211125;5448;530010.0;53;5
408;20211126;5218;530010.0;53;5
409;20211127;1673;530010.0;53;5
410;20211128;299;530010.0;53;5
411;20211129;5368;530010.0;53;5
412;20211130;297;530010.0;53;5
413;20211201;6047;530010.0;53;5
414;20211202;5107;530010.0;53;5
415;20211203;4956;530010.0;53;5
416;20211204;641;530010.0;53;5
417;20211205;303;530010.0;53;5
418;20211206;4689;530010.0;53;5
419;20211207;4897;530010.0;53;5
420;20211208;4930;530010.0;53;5
421;20211209;5222;530010.0;53;5
422;20211210;4865;530010.0;53;5
423;20211211;433;530010.0;53;5
424;20211212;546;530010.0;53;5
425;20211213;4663;530010.0;53;5
426;20211214;4623;530010.0;53;5
427;20211215;4573;530010.0;53;5
428;20211216;4418;530010.0;53;5
429;20211217;3774;530010.0;53;5
430;20211218;617;530010.0;53;5
431;20211219;202;530010.0;53;5
432;20211220;4535;530010.0;53;5
433;20211221;8156;530010.0;53;5
434;20211222;7391;530010.0;53;5
435;20211223;5409;530010.0;53;5
436;20211224;1072;530010.0;53;5
437;20211225;1;530010.0;53;5
438;20211226;5;530010.0;53;5
439;20211227;6737;530010.0;53;5
440;20211228;6984;530010.0;53;5
441;20211229;5483;530010.0;53;5
442;20211230;3993;530010.0;53;5
443;20211231;1157;530010.0;53;5
444;20220101;7;530010.0;53;5
445;20220102;1;530010.0;53;5
446;20220103;7043;530010.0;53;5
447;20220104;7346;530010.0;53;5
448;20220105;6659;530010.0;53;5
449;20220106;6173;530010.0;53;5
450;20220107;5318;530010.0;53;5
451;20220108;326;530010.0;53;5
452;20220109;249;530010.0;53;5
453;20220110;7992;530010.0;53;5
454;20220111;6338;530010.0;53;5
455;20220112;6495;530010.0;53;5
456;20220113;5915;530010.0;53;5
457;20220114;6138;530010.0;53;5
458;20220115;360;530010.0;53;5
459;20220116;1656;530010.0;53;5
460;20220117;5282;530010.0;53;5
461;20220118;5515;530010.0;53;5
462;20220119;6386;530010.0;53;5
463;20220120;5818;530010.0;53;5
464;20220121;5394;530010.0;53;5
465;20220122;1124;530010.0;53;5
466;20220123;479;530010.0;53;5
467;20220124;6705;530010.0;53;5
468;20220125;6623;530010.0;53;5
469;20220126;6268;530010.0;53;5
470;20220127;6734;530010.0;53;5
471;20220128;7191;530010.0;53;5
472;20220129;1464;530010.0;53;5
473;20220130;742;530010.0;53;5
474;20220131;6526;530010.0;53;5
475;20220201;6375;530010.0;53;5
476;20220202;5107;530010.0;53;5
477;20220203;4153;530010.0;53;5
478;20220204;5738;530010.0;53;5
479;20220205;1014;530010.0;53;5
480;20220206;783;530010.0;53;5
481;20220207;6173;530010.0;53;5
482;20220208;6796;530010.0;53;5
483;20220209;6541;530010.0;53;5
484;20220210;5836;530010.0;53;5
485;20220211;6676;530010.0;53;5
486;20220212;1385;530010.0;53;5
487;20220213;631;530010.0;53;5
488;20220214;6125;530010.0;53;5
489;20220215;4494;530010.0;53;5
490;20220216;3955;530010.0;53;5
491;20220217;3634;530010.0;53;5
492;20220218;4670;530010.0;53;5
493;20220219;726;530010.0;53;5
494;20220220;469;530010.0;53;5
495;20220221;4816;530010.0;53;5
496;20220222;5503;530010.0;53;5
497;20220223;4187;530010.0;53;5
498;20220224;3600;530010.0;53;5
499;20220225;4454;530010.0;53;5
500;20220226;1134;530010.0;53;5
501;20220228;549;530010.0;53;5
502;20220301;5;530010.0;53;5
503;20220302;2475;530010.0;53;5
504;20220303;3704;530010.0;53;5
505;20220304;4911;530010.0;53;5
506;20220305;804;530010.0;53;5
507;20220306;533;530010.0;53;5
508;20220307;4205;530010.0;53;5
509;20220308;4022;530010.0;53;5
510;20220309;3809;530010.0;53;5
